Device_Name,Model_Number,Manufacturer,Indications_for_Use,Contraindications
Surgical Robot,SR-01018,SurgicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01019,DiagnosticPlus,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01020,VitalSigns Corp,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01021,ImplantTech Ltd,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01022,CriticalCare Systems,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01023,PrecisionMed Inc,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01024,MedTech Solutions,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01025,BioDevice Corp,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01026,ClinicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01027,HeartCare Systems,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01028,PulmoTech Inc,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01029,NeuroCare Devices,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01030,SurgicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01031,DiagnosticPlus,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01032,VitalSigns Corp,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01033,ImplantTech Ltd,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01034,CriticalCare Systems,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01035,PrecisionMed Inc,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01036,MedTech Solutions,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01037,BioDevice Corp,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01038,ClinicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01039,HeartCare Systems,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01040,PulmoTech Inc,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01041,NeuroCare Devices,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01042,SurgicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01043,DiagnosticPlus,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01044,VitalSigns Corp,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01045,ImplantTech Ltd,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01046,CriticalCare Systems,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01047,PrecisionMed Inc,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01048,MedTech Solutions,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01049,BioDevice Corp,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01050,ClinicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01051,HeartCare Systems,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01052,PulmoTech Inc,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01053,NeuroCare Devices,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01054,SurgicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01055,DiagnosticPlus,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01056,VitalSigns Corp,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01057,ImplantTech Ltd,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01058,CriticalCare Systems,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01059,PrecisionMed Inc,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01060,MedTech Solutions,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01061,BioDevice Corp,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01062,ClinicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01063,HeartCare Systems,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01064,PulmoTech Inc,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01065,NeuroCare Devices,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01066,SurgicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01067,DiagnosticPlus,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01068,VitalSigns Corp,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01069,ImplantTech Ltd,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01070,CriticalCare Systems,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01071,PrecisionMed Inc,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01072,MedTech Solutions,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01073,BioDevice Corp,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01074,ClinicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01075,HeartCare Systems,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01076,PulmoTech Inc,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01077,NeuroCare Devices,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01078,SurgicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01079,DiagnosticPlus,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01080,VitalSigns Corp,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01081,ImplantTech Ltd,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01082,CriticalCare Systems,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01083,PrecisionMed Inc,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01084,MedTech Solutions,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01085,BioDevice Corp,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01086,ClinicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01087,HeartCare Systems,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01088,PulmoTech Inc,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01089,NeuroCare Devices,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01090,SurgicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01091,DiagnosticPlus,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01092,VitalSigns Corp,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01093,ImplantTech Ltd,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01094,CriticalCare Systems,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01095,PrecisionMed Inc,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01096,MedTech Solutions,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01097,BioDevice Corp,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01098,ClinicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01099,HeartCare Systems,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01100,PulmoTech Inc,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01101,NeuroCare Devices,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01102,SurgicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01103,DiagnosticPlus,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01104,VitalSigns Corp,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01105,ImplantTech Ltd,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01106,CriticalCare Systems,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01107,PrecisionMed Inc,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01108,MedTech Solutions,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01109,BioDevice Corp,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01110,ClinicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01111,HeartCare Systems,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
